CALCIU D3 PLUS 500 mg/400 UI,COMBINATII,COMPR. MAST.,500mg/400UI,TAKEDA NYCOMED AS - NORVEGIA,"Cutie cu blist. PVC-PE-PVDC/Al x
50x1 (unidoza) compr. mast. - 2 ani",OTC,A12AX
CALCIU D3 PLUS 500 mg/400 UI,COMBINATII,COMPR. MAST.,500mg/400UI,TAKEDA NYCOMED AS - NORVEGIA,"Cutie cu blist. PVC-PE-PVDC/Al x 50
compr. mast. - 2 ani",OTC,A12AX
CALCIU D3 PLUS 500 mg/400 UI,COMBINATII,COMPR. MAST.,500mg/400UI,TAKEDA NYCOMED AS - NORVEGIA,"Cutie cu blist. PVC-PE-PVDC/Al x 60
compr. mast. - 2 ani",OTC,A12AX
CALCIU D3 PLUS 500 mg/400 UI,COMBINATII,COMPR. MAST.,500mg/400UI,TAKEDA NYCOMED AS - NORVEGIA,"Cutie cu blist. PVC-PE-PVDC/Al x 90
compr. mast. - 2 ani",OTC,A12AX
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,Ambalaj,Pres.,ATC
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu blist. PVC-PE-PVDC/Al x 100
compr. mast. - 2 ani",OTC,A12AX
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu blist. PVC-PE-PVDC/Al x 120
compr. mast. - 2 ani",OTC,A12AX
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu blist. PVC-PE-PVDC/Al x 168
compr. mast. - 2 ani",OTC,A12AX
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu blist. PVC-PE-PVDC/Al x 180
compr. mast. - 2 ani",OTC,A12AX
"CALCIU SANDOZ OSTEO 1000
mg/880 UI",COMBINATII,COMPR. MAST.,1000mg/880UI,SANDOZ S.R.L. - ROMANIA,"Cutie cu 1 tub din PP x 10 (1x10)
compr. mast. - 2 ani",OTC,A12AX
"CALCIU SANDOZ OSTEO 1000
mg/880 UI",COMBINATII,COMPR. MAST.,1000mg/880UI,SANDOZ S.R.L. - ROMANIA,"Cutie cu 1 tub din PP x 20 (1x20)
compr. mast. - 2 ani",OTC,A12AX
"CALCIU SANDOZ OSTEO 1000
mg/880 UI",COMBINATII,COMPR. MAST.,1000mg/880UI,SANDOZ S.R.L. - ROMANIA,"Cutie cu 2 tuburi din PP x 28 (2x14)
compr. mast. - 2 ani",OTC,A12AX
"CALCIU SANDOZ OSTEO 1000
mg/880 UI",COMBINATII,COMPR. MAST.,1000mg/880UI,SANDOZ S.R.L. - ROMANIA,"Cutie cu 1 tub din PP x 30 (1x30)
compr. mast. - 2 ani",OTC,A12AX
"CALCIU SANDOZ OSTEO 1000
mg/880 UI",COMBINATII,COMPR. MAST.,1000mg/880UI,SANDOZ S.R.L. - ROMANIA,"Cutie cu 2 tuburi din PP x 40 (2x20)
compr. mast. - 2 ani",OTC,A12AX
"CALCIU SANDOZ OSTEO 1000
mg/880 UI",COMBINATII,COMPR. MAST.,1000mg/880UI,SANDOZ S.R.L. - ROMANIA,"Cutie cu 2 tuburi din PP x 50 (2x25)
compr. mast. - 2 ani",OTC,A12AX
"CALCIU SANDOZ OSTEO 1000
mg/880 UI",COMBINATII,COMPR. MAST.,1000mg/880UI,SANDOZ S.R.L. - ROMANIA,"Cutie cu 4 tuburi din PP x 56 (4x14)
compr. mast. - 2 ani",OTC,A12AX
"CALCIU SANDOZ OSTEO 1000
mg/880 UI",COMBINATII,COMPR. MAST.,1000mg/880UI,SANDOZ S.R.L. - ROMANIA,"Cutie cu 2 tuburi din PP x 60 (2x30)
compr. mast. - 2 ani",OTC,A12AX
"CALCIU SANDOZ OSTEO 1000
mg/880 UI",COMBINATII,COMPR. MAST.,1000mg/880UI,SANDOZ S.R.L. - ROMANIA,"Cutie cu 3 tuburi din PP x 90 (3x30)
compr. mast. - 2 ani",OTC,A12AX
"CALCIU SANDOZ OSTEO 1000
mg/880 UI",COMBINATII,COMPR. MAST.,1000mg/880UI,SANDOZ S.R.L. - ROMANIA,"5 cutii cu 1 tub PP 100 (5x20) compr.
mast. - 2 ani",OTC,A12AX
"CALCIU SANDOZ OSTEO 1000
mg/880 UI",COMBINATII,COMPR. MAST.,1000mg/880UI,SANDOZ S.R.L. - ROMANIA,"Cutie cu 5 folii laminate termosudate din Al/hartie x 10 (5x2) compr. mast. -
2 ani",OTC,A12AX
"CALCIU SANDOZ OSTEO 1000
mg/880 UI",COMBINATII,COMPR. MAST.,1000mg/880UI,SANDOZ S.R.L. - ROMANIA,"Cutie cu 5 folii laminate termosudate din Al/hartie x 20 (5x4) compr. mast. -
2 ani",OTC,A12AX
"CALCIU SANDOZ OSTEO 1000
mg/880 UI",COMBINATII,COMPR. MAST.,1000mg/880UI,SANDOZ S.R.L. - ROMANIA,"Cutie cu 7 folii laminate termosudate
din Al/hartie x 28 (7x4) compr. mast. - 2 ani",OTC,A12AX
"CALCIU SANDOZ OSTEO 1000
mg/880 UI",COMBINATII,COMPR. MAST.,1000mg/880UI,SANDOZ S.R.L. - ROMANIA,"Cutie cu 5 folii laminate termosudate din Al/hartie x 30 (5x6) compr. mast. -
2 ani",OTC,A12AX
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,Ambalaj,Pres.,ATC
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 10 folii laminate termosudate din Al/hartie x 40 (10x4) compr. mast.
- 2 ani",OTC,A12AX
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutei cu 8 folii laminate termosudate din Al/hartie x 48 (8x6) compr. mast. -
2 ani",OTC,A12AX
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 14 folii laminate termosudate din Al/hartie x 56 (14x4) compr. mast.
- 2 ani",OTC,A12AX
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 10 folii laminate termosudate din Al/hartie x 60 (10x6) compr. mast.
- 2 ani",OTC,A12AX
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"2 cutii cu 5 folii laminate termosudate fiecare din Al/hartiex 60 (5x6) compr.
mast. - 2 ani",OTC,A12AX
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 15 folii laminate termosudate
din Al/hartiex 90 (15x6) compr. mast. - 2 ani",OTC,A12AX
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"3 cutii cu 5 folii laminate termosudate
fiecare din Al/hartiex 90 (5x6) compr. mast. - 2 ani",OTC,A12AX
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 16 folii laminate termosudate
din Al/hartiex 96 (16x6) compr. mast. - 2 ani",OTC,A12AX
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"5 cutii cu 5 folii laminate termosudate fiecare din Al/hartiex 100 (5x4) compr.
mast. - 2 ani",OTC,A12AX
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu folii laminate termosudate din
Al/hartie x 120 compr. mast. - 2 ani",OTC,A12AX
"CALCIUM-SANDOZ®  + VIT. C
1000 mg",COMBINATII,COMPR. EFF.,,SANDOZ S.R.L. - ROMANIA,"Cutie x 1 tub PP x 10 compr. eff. - 3
ani",OTC,A11GB01
"CALCIUM-SANDOZ® FORTE 500
mg",COMBINATII,COMPR. EFF.,500mg,SANDOZ S.R.L. - ROMANIA,"Cutie x 1 tub PP x 10 compr. eff. - 3
ani",OTC,A12AA20
CALCIVID,COMBINATII,COMPR. FILM.,,BERES PHARMACEUTICALS CO. LTD. - UNGARIA,"Cutie x 3 blist. Al/PVC x 10 compr.
film. - 2 ani",OTC,A12AXN1
CALCIVID,COMBINATII,COMPR. FILM.,,BERES PHARMACEUTICALS CO. LTD. - UNGARIA,"Cutie x 6 blist. Al/PVC x 10 compr.
film. - 2 ani",OTC,A12AXN1
CALCIVID CITRAT 300 mg/200 UI,COMBINATII,COMPR. FILM.,300mg/200UI,BIO EEL S.R.L. - ROMANIA,"Cutie cu 1 flac. PEID x 30 compr. film.
- 2 ani",OTC,A12AX
CALCIVID CITRAT 300 mg/200 UI,COMBINATII,COMPR. FILM.,300mg/200UI,BIO EEL S.R.L. - ROMANIA,Cutie cu 1 flac. PEID x 60 compr. film.,OTC,A12AX
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,Ambalaj,Pres.,ATC
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,- 2 ani,,
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 1 flac. PEID x 90 compr. film.
- 2 ani",OTC,A12AX
CALGEL,DIVERSE,GEL GINGIVAL,,"MCNEIL PRODUCTS LIMITED C/O JOHNSON & JOHNSON - MAREA
BRITANIE",Cutie x 1 tub Al x 10 g - 3 ani,OTC,A01AD11
CALMOFLUID-T,PLANTE,SIROP,,TIS FARMACEUTIC SA - ROMANIA,"Cutie x 1 flacon din PVC x 100 ml
sirop + lingurita dozatoare - 2 ani",OTC,R05CA10
CANEPHRON,PLANTE,DRAJ.,,BIONORICA SE - GERMANIA,"Cutie cu 3 blist. Al/PVC-PVDC x 20
draj. - 3 ani",OTC,G04BX
CANEPHRON,PLANTE,DRAJ.,,BIONORICA SE - GERMANIA,"Cutie cu 6 blist. Al/PVC-PVDC x 20
draj. - 3 ani",OTC,G04BX
CANEPHRON,PLANTE,DRAJ.,,BIONORICA SE - GERMANIA,"Cutie cu 10 blist. Al/PVC-PVDC x 20
draj. - 3 ani",OTC,G04BX
CANEPHRON,PLANTE,PIC. ORALE. SOL.,,BIONORICA SE - GERMANIA,"Cutie cu 1 flac. din sticla bruna a 50 ml pic. orale. sol. + picurator din PE si capac din PP cu inel de siguranta - 2 ani- dupa ambalarea pt. comercializare; 6 luni-dupa prima
deschidere a flac.",OTC,G04BX
CANEPHRON,PLANTE,PIC. ORALE. SOL.,,BIONORICA SE - GERMANIA,"Cutie cu 1 flac. din sticla bruna a 100 ml pic. orale. sol. + picurator din PE si capac din PP cu inel de siguranta - 2 ani- dupa ambalarea pt. comercializare; 6 luni-dupa prima
deschidere a flac.",OTC,G04BX
CANEPHRON,PLANTE,PIC. ORALE. SOL.,,BIONORICA SE - GERMANIA,"Cutie cu 1 flac. din sticla bruna a 200 ml pic. orale. sol. + picurator din PE si capac din PP cu inel de siguranta - 2 ani- dupa ambalarea pt. comercializare; 6 luni-dupa prima
deschidere a flac.",OTC,G04BX
CANESPOR CREMA 10mg/g,BIFONAZOLUM,CREMA,10mg/g,BAYER S.R.L. - ROMANIA,"Cutie x 1 tub din Al x 15 g crema - 5
ani",OTC,D01AC10
CANESPOR CREMA 10mg/g,BIFONAZOLUM,CREMA,10mg/g,BAYER S.R.L. - ROMANIA,"Cutie x 1 tub din Al x 20 g crema - 5
ani",OTC,D01AC10
"CANESPOR ONICHOSET
10mg+400mg//g",COMBINATII,UNGUENT,10mg+400mg/g,BAYER S.R.L. - ROMANIA,"Cutie x 1 tub din Al x 10 g ung. + disp. pt. extragerea ung. + 15 plasturi + 1
razuitoare pt. unghii - 3 ani",OTC,D01AC60
CANESPOR SOLUTIE CUTANATA,BIFONAZOLUM,SOL. CUT.,10mg/ml,BAYER S.R.L. - ROMANIA,Cutie x 1 flacon x 15 ml sol. cut. +,OTC,D01AC10
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,Ambalaj,Pres.,ATC
10mg/ml,,,,,disp. de picurare - 5 ani,,
CANESTEN,CLOTRIMAZOLUM,CREMA,10mg/g,BAYER S.R.L. - ROMANIA,"Cutie x 1 tub din Al x 20 g crema - 3
ani",OTC,D01AC01
CANESTEN GYN  3,CLOTRIMAZOLUM,COMPR. VAG.,200mg,BAYER S.R.L. - ROMANIA,"Cutie x 1 blist. PA-Al-PVC/Al x 3 compr. vag. + aplicator din PEID - 4
ani",OTC,G01AF02
CARMOLIS® ALS PICATURI,COMBINATII,SOL.  IN PICATURI,,DR. A & L. SCHMIDGALL - AUSTRIA,"Cutie x 1 flacon x 40 ml + picurator - 5
ani",OTC,V03AXN1
CARMOLIS® ALS PICATURI,COMBINATII,SOL.  IN PICATURI,,DR. A & L. SCHMIDGALL - AUSTRIA,"Cutie x 1 flacon x 80 ml + picurator - 5
ani",OTC,V03AXN1
CEFANORM,PLANTE,CAPS.,4mg,CEFAK KG - GERMANIA,"Cutie x 3 blist. PVC-PVDC/Al x 10
caps. - 5 ani",OTC,G02CXN1
CEFANORM,PLANTE,CAPS.,4mg,CEFAK KG - GERMANIA,"Cutie x 6 blist. PVC-PVDC/Al x 10
caps. - 5 ani",OTC,G02CXN1
CEFANORM,PLANTE,CAPS.,4mg,CEFAK KG - GERMANIA,"Cutie x 10 blist. PVC-PVDC/Al x 10
caps. - 5 ani",OTC,G02CXN1
CEFASABAL,PLANTE. COMBINATII,COMPR.,,CEFAK KG - GERMANIA,"Cutie x 5 blist. PVC-PVDC/Al x 20
comp. - 5 ani",OTC,G04CXN4
CEFASEL 100 µg,SELENIUM,COMPR.,100µg,CEFAK KG - GERMANIA,"Cutie x 2 blist. PVC-PVDC/Al x 10
compr. - 5 ani",OTC,A12CE02
CEFASEL 100 µg,SELENIUM,COMPR.,100µg,CEFAK KG - GERMANIA,"Cutie x 5 blist. PVC-PVDC/Al x 10
compr. - 5 ani",OTC,A12CE02
CEFASEL 100 µg,SELENIUM,COMPR.,100µg,CEFAK KG - GERMANIA,"Cutie x 10 blist. PVC-PVDC/Al x 10
compr. - 5 ani",OTC,A12CE02
CEFATEC 480 FT,PLANTE,COMPR. FILM.,480mg,CEFAK KG - GERMANIA,"Cutie x 2 blist. PVC-PVDC/Al x 10
compr. film. - 3 ani",OTC,M09AXN3
CEFATEC 480 FT,PLANTE,COMPR. FILM.,480mg,CEFAK KG - GERMANIA,"Cutie x 5 blist. PVC-PVDC/Al x 10
compr. film. - 3 ani",OTC,M09AXN3
CEFATEC 480 FT,PLANTE,COMPR. FILM.,480mg,CEFAK KG - GERMANIA,"Cutie x 10 blist. PVC-PVDC/Al x 10
compr. film. - 3 ani",OTC,M09AXN3
CELERG,CETIRIZINUM,COMPR.,10 mg,"AC HELCOR PHARMA SRL -
ROMANIA","Cutie x 1 blist. PVC/Al x 10 ompr. film.
- 3 ani",OTC,R06AE07
CEMOLPLUS 500 mg/3 mg,COMBINATII,COMPR.,500mg/3mg,SANOSAN S.R.L. - ROMANIA,"Cutie cu 2 blist. PVC/Al x 10 compr. -
2 ani",OTC,N02BE51
CEMOLSINUS 500 mg/3 mg/50 mg,COMBINATII,COMPR.,"500mg/3mg/50
mg",SANOSAN S.R.L. - ROMANIA,"Cutie cu 2 blist. PVC/Al x 10 compr. -
2 ani",OTC,R01BA52
CETIRIZINA DORNAFARM 10 mg,CETIRIZINUM,COMPR,10mg,ARENA GROUP S.A. - ROMANIA,"Cutie x 1 blist. PVC-PVDC/Al x
7compr. film. - 2 ani",OTC,R06AE07
CHOLINEX,CHOLINI SALICYLAS,PASTILE,150mg,"GLAXOSMITHKLINE
PHARMACEUTICALS SA -","Cutie x 2 blist. PVC-PVDC/Al x 8
compr. de supt - 2 ani",OTC,A01AD11
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,Ambalaj,Pres.,ATC
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,,,
CICADERMA,HOMEOPATE,UNGUENT,,LAB. BOIRON - FRANTA,"Cutie x 1 tub din Al x 30 g unguent - 3
ani",OTC,XRNIT
CICATROL 10 mg/g,SULFADIAZINUM,PASTA CUTANATA,10mg/g,ANTIBIOTICE S.A. - ROMANIA,"Cutie cu 1 tub din Al x 20 g pasta cutanata - 3 ani-dupa ambalarea pt. comercializare;dupa prima deschidere
a tubului-3 ani",OTC,D06BA01
CICATROL 10 mg/g,SULFADIAZINUM,PASTA CUTANATA,10mg/g,ANTIBIOTICE S.A. - ROMANIA,"Cutie cu 1 tub din Al x 50 g pasta cutanata - 3 ani-dupa ambalarea pt. comercializare;dupa prima deschidere
a tubului-3 ani",OTC,D06BA01
CITRAFLEET,COMBINATII,PULB. PT. SOL. ORALA,,"LABORATORIOS CASEN-FLEET.
S.L.U. - SPANIA","Cutie cu 2 plicuri unidoza PE/Al/poliester cu pulb. pt. sol. orala - 30 luni-dupa ambalarea pt. comercializare;dupa reconstituire-se
utilizeaza imediat",OTC,A06AB58
CITRAFLEET,COMBINATII,PULB. PT. SOL. ORALA,,"LABORATORIOS CASEN-FLEET.
S.L.U. - SPANIA","Cutie cu 50 plicuri unidoza PE/Al/poliester cu pulb. pt. sol. orala - 30 luni-dupa ambalarea pt. comercializare;dupa reconstituire-se
utilizeaza imediat",OTC,A06AB58
CITRAFLEET,COMBINATII,PULB. PT. SOL. ORALA,,"LABORATORIOS CASEN-FLEET.
S.L.U. - SPANIA","Cutie cu 100 plicuri unidoza PE/Al/poliester cu pulb. pt. sol. orala - 30 luni-dupa ambalarea pt. comercializare;dupa reconstituire-se
utilizeaza imediat",OTC,A06AB58
CITRAFLEET,COMBINATII,PULB. PT. SOL. ORALA,,"LABORATORIOS CASEN-FLEET.
S.L.U. - SPANIA","Cutie cu 200 plicuri unidoza PE/Al/poliester cu pulb. pt. sol. orala - 30 luni-dupa ambalarea pt. comercializare;dupa reconstituire-se
utilizeaza imediat",OTC,A06AB58
CITRAFLEET,COMBINATII,PULB. PT. SOL. ORALA,,"LABORATORIOS CASEN-FLEET.
S.L.U. - SPANIA","Cutie cu 500 plicuri unidoza PE/Al/poliester cu pulb. pt. sol. orala - 30 luni-dupa ambalarea pt. comercializare;dupa reconstituire-se
utilizeaza imediat",OTC,A06AB58
CITRAFLEET,COMBINATII,PULB. PT. SOL. ORALA,,"LABORATORIOS CASEN-FLEET.
S.L.U. - SPANIA","Cutie cu 1000 plicuri unidoza PE/Al/poliester cu pulb. pt. sol. orala - 30 luni-dupa ambalarea pt.
comercializare;dupa reconstituire-se",OTC,A06AB58
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,Ambalaj,Pres.,ATC
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,utilizeaza imediat,,
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 50 plicuri unidoza PE/Al/poliester cu pulb. pt. sol. orala (ambalaj de uz spitalicesc) - 30
luni-dupa ambalarea pt.
comercializare;dupa reconstituire-se utilizeaza imediat",OTC,A06AB58
CITROLIN,DIVERSE,APA DE GURA,,"PHARCO IMPEX 93 S.R.L. -
ROMANIA","Cutie x 1 flacon din polietilentereftalat
x 120 ml - 2 ani",OTC,A01AD11
CLAFEN 10 mg/gram,DICLOFENACUM,CREMA,10mg/gram,ANTIBIOTICE S.A. - ROMANIA,Cutie cu 1 tub Al x 20 g crema - 3 ani,OTC,M02AA15
CLAFEN 10 mg/gram,DICLOFENACUM,CREMA,10mg/gram,ANTIBIOTICE S.A. - ROMANIA,Cutie cu 1 tub Al x 40 g crema - 3 ani,OTC,M02AA15
CLAFEN 10 mg/gram,DICLOFENACUM,GEL,,ANTIBIOTICE S.A. - ROMANIA,Cutie cu 1 tub Al x 40 g gel - 2 ani,OTC,M02AA15
CLAFEN 50 mg/gram,DICLOFENACUM,GEL,50mg/gram,ANTIBIOTICE S.A. - ROMANIA,Cutie cu 1 tub Al x 25 g - 3 ani,OTC,M02AA15
CLAFEN 50 mg/gram,DICLOFENACUM,GEL,50mg/gram,ANTIBIOTICE S.A. - ROMANIA,Cutie cu 1 tub Al x 45 g - 3 ani,OTC,M02AA15
CLARITINE 10 mg,LORATADINUM,COMPR.,10mg,"MERCK SHARP & DOHME
ROMANIA S.R.L. - ROMANIA","Cutie x 1 blist. PVC/Al x 10 compr. - 3
ani",OTC,R06AX13
CLAVUSIN,ACIDUM SALICYILICUM,SOL. CUT.,,MEDUMAN VISEU SA - ROMANIA,Cutie x 1 flacon x 10 ml - 2 ani,OTC,D11AFN1
"CLORCHINALDOL ARENA 100 mg
(vezi A07AXN1)",CHLORQUINALDOLUM,DRAJ.,100mg,ARENA GROUP S.A. - ROMANIA,"Cutie cu 1 blist. PVC/Al x 10 draj. - 3
ani",OTC,P01AA04
"CLORCHINALDOL ARENA 100 mg
(vezi A07AXN1)",CHLORQUINALDOLUM,DRAJ.,100mg,ARENA GROUP S.A. - ROMANIA,"Cutie cu 3 blist. PVC/Al x 10 draj. - 3
ani",OTC,P01AA04
"CLORCHINALDOL ARENA 100 mg
(vezi A07AXN1)",CHLORQUINALDOLUM,DRAJ.,100mg,ARENA GROUP S.A. - ROMANIA,"Cutie cu 100 blist. PVC/Al x 10 draj. -
3 ani",OTC,P01AA04
"CLORCHINALDOL ARENA 100 mg
(vezi P01AA04)",CHLORQUINALDOLUM,DRAJ.,,ARENA GROUP S.A. - ROMANIA,"Cutie cu 1 blist. PVC/Al x 10 draj. - 3
ani",OTC,A07AXN1
"CLORCHINALDOL ARENA 100 mg
(vezi P01AA04)",CHLORQUINALDOLUM,DRAJ.,,ARENA GROUP S.A. - ROMANIA,"Cutie cu 3 blist. PVC/Al x 10 draj. - 3
ani",OTC,A07AXN1
"CLORCHINALDOL ARENA 100 mg
(vezi P01AA04)",CHLORQUINALDOLUM,DRAJ.,,ARENA GROUP S.A. - ROMANIA,"Cutie cu 100 blist. PVC/Al x 10 draj. -
3 ani",OTC,A07AXN1
CLOROCALCIN®,CALCII CHLORIDUM,"PICATURI
ORALE-SOL.",12.20%,BIOFARM SA - ROMANIA,"Cutie x 1 flacon din sticla bruna.
prevazut cu picurator x 50 ml - 2 ani",OTC,A12AA07
CLORURA DE SODIU 9 mg/ml,NATRII CHLORIDUM,SOL INJ.,9mg/ml,B. BRAUN MELSUNGEN AG - GERMANIA,"Cutie cu 20 fiole PEJD x 5 ml sol. inj. - 3 ani-dupa ambalarea pt. comercializare;dupa prima
deschidere-se utilizeaza imediat",OTC,V07AB
CLORURA DE SODIU 9 mg/ml,NATRII CHLORIDUM,SOL INJ.,9mg/ml,B. BRAUN MELSUNGEN AG - GERMANIA,"Cutie cu 20 fiole PEJD x 10 ml sol. inj.
- 3 ani-dupa ambalarea pt. comercializare;dupa prima deschidere-se utilizeaza imediat",OTC,V07AB
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,Ambalaj,Pres.,ATC
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,"Cutie cu 20 fiole PEJD x 20 ml sol. inj.
- 3 ani-dupa ambalarea pt. comercializare;dupa prima deschidere-se utilizeaza imediat",OTC,V07AB
CLOTRIMAZOL,CLOTRIMAZOLUM,CREMA,1%,SLAVIA PHARM SRL - ROMANIA,Cutie x 1 tub x 20 g - 3 ani,OTC,D01AC01
CLOTRIMAZOL,CLOTRIMAZOLUM,SOL. CUT.,10mg/g,BIOFARM SA - ROMANIA,"Cutie x 1 flac. din sticla bruna x 25 g
sol. cutanata - 3 ani",OTC,D01AC01
CLOTRIMAZOL  ZENTIVA 100 mg,CLOTRIMAZOLUM,COMPR. VAG.,100mg,ZENTIVA S.A. - ROMANIA,"Cutie x 2 blist. PVC/Al x 6 compr. vag.
- 3 ani",OTC,G01AF02
CLOTRIMAZOL  ZENTIVA 100 mg,CLOTRIMAZOLUM,COMPR. VAG.,100mg,ZENTIVA S.A. - ROMANIA,"Cutie x 1 blist. PVC/Al  x 6 compr.
vag. - 3 ani",OTC,G01AF02
CLOTRIMAZOL ATB 10 mg/g,CLOTRIMAZOLUM,CREMA,10mg/g,ANTIBIOTICE SA - ROMANIA,Cutie cu 1 tub Al x 15 g - 2 ani,OTC,D01AC01
CLOTRIMAZOL ATB 10 mg/g,CLOTRIMAZOLUM,CREMA,10mg/g,ANTIBIOTICE SA - ROMANIA,Cutie cu 1 tub Al x 35 g - 2 ani,OTC,D01AC01
CLOTRIMAZOL HYPERION,CLOTRIMAZOLUM,CREMA,,HYPERION SA - ROMANIA,"Cutie x 1 tub din Al x 20 g crema - 3
ani",OTC,D01AC01
CLOTRIMAZOL MCC 100 mg,CLOTRIMAZOLUM,COMPR. VAG.,100mg,MAGISTRA C & C SRL - ROMANIA,"Cutie x 2 blist. Al/PVC x 6 compr. vag.
- 2 ani",OTC,G01AF02
CLOTRIMAZOL MK,CLOTRIMAZOLUM,CREMA,1%,FITERMAN PHARMA S.R.L. - ROMANIA,Cutie x 1 tub Al x 35 g - 3 ani,OTC,D01AC01
CLOTRIMAZOL MK,CLOTRIMAZOLUM,CREMA,1%,FITERMAN PHARMA S.R.L. - ROMANIA,Cutie x 1 tub Al x 20 g - 3 ani,OTC,D01AC01
"CLOTRIMAZOL ROMPHARM
10mg/ml",CLOTRIMAZOLUM,SPRAY CUTANAT SOL.,10mg/ml,ROMPHARM COMPANY SRL - ROMANIA,"Cutie x 1 flac. PEID alb x 20 ml spray
cutanat solutie. prevazut cu pompa de pulverizare - 3 ani",OTC,D01AC01
COCCULINE,HOMEOPATE,COMPR.,,LAB. BOIRON - FRANTA,"Cutie x 3 blist. Al-PVC x 10 compr. - 5
ani",OTC,XRNIT
CODAMIN P,COMBINATII,COMPR.,,TERAPIA SA - ROMANIA,"Cutie x 2 blist. Al/PVC x 10 compr. -
18 luni",OTC,N02BE51
COLDREX  LEMON,COMBINATII,PULB. PT. SUSP. ORALA,,GLAXOSMITHKLINE CONSUMER HEALTHCARE - MAREA BRITANIE,"Cutie x 5 plicuri x 5 g pulb. pt. susp.
orala - 3 ani",OTC,N02BE51
COLDREX  LEMON,COMBINATII,PULB. PT. SUSP. ORALA,,GLAXOSMITHKLINE CONSUMER HEALTHCARE - MAREA BRITANIE,"Cutie x 10 plicuri x 5 g pulb. pt. susp.
orala - 3 ani",OTC,N02BE51
COLDREX COMPRIMATE FILMATE,COMBINATII,COMPR. FILM.,,GLAXOSMITHKLINE CONSUMER HEALTHCARE - MAREA BRITANIE,"Cutie x 1 blist. Al/PVC X 8 compr. film.
- 3 ani",OTC,N02BE51
COLDREX COMPRIMATE FILMATE,COMBINATII,COMPR. FILM.,,GLAXOSMITHKLINE CONSUMER HEALTHCARE - MAREA BRITANIE,"Cutie x 2 blist. Al/PVC X 8 compr. film.
- 3 ani",OTC,N02BE51
COLDREX COMPRIMATE FILMATE,COMBINATII,COMPR. FILM.,,GLAXOSMITHKLINE CONSUMER HEALTHCARE - MAREA BRITANIE,"Cutie x 3 blist. Al/PVC X 8 compr. film.
- 3 ani",OTC,N02BE51
COLDREX COMPRIMATE FILMATE,COMBINATII,COMPR. FILM.,,GLAXOSMITHKLINE CONSUMER HEALTHCARE - MAREA BRITANIE,"Cutie x 4 blist. Al/PVC X 8 compr. film.
- 3 ani",OTC,N02BE51
COLDREX COMPRIMATE FILMATE,COMBINATII,COMPR. FILM.,,GLAXOSMITHKLINE CONSUMER HEALTHCARE - MAREA BRITANIE,Cutie x 6 blist. Al/PVC X 8 compr. film.,OTC,N02BE51
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,Ambalaj,Pres.,ATC
Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,- 3 ani,,
COLDREX HONEY & LEMON,COMBINATII,PULB. PT. SUSP. ORALA,,GLAXOSMITHKLINE CONSUMER HEALTHCARE - MAREA BRITANIE,"Cutie x 5 plicuri hartie- PE-AL-PE x 5g
pulb. pt.susp.orala - 2 ani",OTC,N02BE51
COLDREX HONEY & LEMON,COMBINATII,PULB. PT. SUSP. ORALA,,GLAXOSMITHKLINE CONSUMER HEALTHCARE - MAREA BRITANIE,"Cutie x 10 plicuri hartie- PE-AL-PE x
5g pulb. pt.susp.orala - 2 ani",OTC,N02BE51
