Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,Ambalaj,Pres.,ATC,Doza_Adult,Doza_Copil,Simptome_combatute
DICLOSAL 10mg/g,DICLOFENACUM,GEL,10mg/g,SLAVIA PHARM S.R.L. - ROMANIA,Cutie cu 1 tub din Al x 25 g gel - 3 ani,OTC,M02AA15,500-1000 mg four times daily,Consult a healthcare provider,Bacterial infections
DICLOSAL 10mg/g,DICLOFENACUM,GEL,10mg/g,SLAVIA PHARM S.R.L. - ROMANIA,Cutie cu 1 tub din Al x 45 g gel - 3 ani,OTC,M02AA15,500-1000 mg four times daily,Consult a healthcare provider,Bacterial infections
DICLOSAL 50 mg/g,DICLOFENACUM,GEL,50mg/g,SLAVIA PHARM S.R.L. - ROMANIA,Cutie cu 1 tub Al x 25 g gel - 3 ani,OTC,M02AA15,500-1000 mg four times daily,Consult a healthcare provider,Bacterial infections
DICLOSAL 50 mg/g,DICLOFENACUM,GEL,50mg/g,SLAVIA PHARM S.R.L. - ROMANIA,Cutie cu 1 tub Al x 45 g gel - 3 ani,OTC,M02AA15,500-1000 mg four times daily,Consult a healthcare provider,Bacterial infections
DICLOSIN 10mg/g,DICLOFENACUM,GEL,10mg/g,SINTOFARM SA - ROMANIA,Cutie x 1 tub din Al x 25 g - 2 ani,OTC,M02AA15,500-1000 mg four times daily,Consult a healthcare provider,Bacterial infections
DICLOSIN 10mg/g,DICLOFENACUM,GEL,10mg/g,SINTOFARM SA - ROMANIA,Cutie x 1 tub din Al x 40 g - 2 ani,OTC,M02AA15,500-1000 mg four times daily,Consult a healthcare provider,Bacterial infections
DICLOSIN 50mg/g,DICLOFENACUM,GEL,50mg/g,SINTOFARM SA - ROMANIA,Cutie x 1 tub din Al x 25 g - 2 ani,OTC,M02AA15,500-1000 mg four times daily,Consult a healthcare provider,Bacterial infections
DICLOSIN 50mg/g,DICLOFENACUM,GEL,50mg/g,SINTOFARM SA - ROMANIA,Cutie x 1 tub din Al x 40 g - 2 ani,OTC,M02AA15,500-1000 mg four times daily,Consult a healthcare provider,Bacterial infections
DIFLEX  50mg/g,DICLOFENACUM,GEL,5%,FITERMAN PHARMA S.R.L. - ROMANIA,"Cutie x 1 tub din Al. acoperit in interior
cu un lac epoxifenolic x 25 g gel - 2 ani",OTC,M02AA15,500-1000 mg four times daily,Consult a healthcare provider,Bacterial infections
DIFLEX  50mg/g,DICLOFENACUM,GEL,5%,FITERMAN PHARMA S.R.L. - ROMANIA,"Cutie x 1 tub din Al. acoperit in interior
cu un lac epoxifenolic x 45 g gel - 2 ani",OTC,M02AA15,500-1000 mg four times daily,Consult a healthcare provider,Bacterial infections
DIFLEX  50mg/g,DICLOFENACUM,GEL,5%,FITERMAN PHARMA S.R.L. - ROMANIA,"Cutie x 1 tub din Al. acoperit in interior cu un lac epoxifenolic x 100 g gel - 2
ani",OTC,M02AA15,500-1000 mg four times daily,Consult a healthcare provider,Bacterial infections
DIFLEX  50mg/g,DICLOFENACUM,GEL,5%,FITERMAN PHARMA S.R.L. - ROMANIA,"Cutie x 1 tub laminat multistratificat. acoperit in interior strat din PEID x 45
g gel - 2 ani",OTC,M02AA15,500-1000 mg four times daily,Consult a healthcare provider,Bacterial infections
DIFLEX  50mg/g,DICLOFENACUM,GEL,5%,FITERMAN PHARMA S.R.L. - ROMANIA,"Cutie x 1 tub laminat multistratificat. acoperit in interior strat din PEID x 100
g gel - 2 ani",OTC,M02AA15,500-1000 mg four times daily,Consult a healthcare provider,Bacterial infections
DIPIRIDAMOL ZENTIVA 25 mg,DIPYRIDAMOLUM,COMPR. FILM.,25mg,ZENTIVA S.A. - ROMANIA,"Cutie x 3 blist. Al/PVC x 10 compr.
film. - 2 ani",OTC,B01AC07,75 mg daily,Consult a healthcare provider,Blood thinning.prevent clotting
DULCOLAX 10 mg,BISACODYLUM,SUPOZ.,10mg,"BOEHRINGER INGELHEIM INTERNATIONAL GMBH -
GERMANIA",Cutie cu 1 folie termosudata Al-PE/PE-Al x 6 supoz. - 3 ani,OTC,C01AA05,5-15 mg daily,Consult a healthcare provider,Constipation
DULCOLAX 5 mg,BISACODYLUM,DRAJ. GASTROREZ.,5mg,"BOEHRINGER INGELHEIM INTERNATIONAL GMBH -
GERMANIA",Cutie cu 3 blist. PVC-PVDC/Al x 10 draj. gastrorez. - 3 ani,OTC,A06AB02,5-15 mg daily,Consult a healthcare provider,Constipation
DULCOPIC 7.5 mg/ml,NATRII PICOSULFAS,"PICATURI
ORALE. SOL.",7.5 mg/ml,"BOEHRINGER INGELHEIM INT.
GMBH - GERMANIA","Cutie x 1 flacon PEID transparent  x
15 ml pic. orale.sol. - 3 ani",OTC,A06AB08,10-20 mg at bedtime,Consult a healthcare provider,Laxative.constipation relief
DULSIFEB 24 mg/ml,PARACETAMOLUM,SOL. ORALA,24 mg/ml,ACTAVIS GROUP PTC EHF. - ISLANDA,"Cutie cu 1 flac. din sticla cu capac prevazut cu sist. inchidere securizat pt. copii (PP/PEJD) + 1 seringa dozatoare cu piston din PEID si rezervor din PP x 60 ml sol. orala - 2
ani",OTC,N02BE01,500 mg every 4-6 hours as needed,120-250 mg every 4-6 hours for children over 6 years,Fever.pain.inflammation
DULSIFEB 24 mg/ml,PARACETAMOLUM,SOL. ORALA,24 mg/ml,ACTAVIS GROUP PTC EHF. - ISLANDA,"Cutie cu 1 flac. din sticla cu capac prevazut cu sist. inchidere securizat pt. copii (PP/PEJD) + 1 seringa dozatoare cu piston din PEID si rezervor din PP x 100 ml sol. orala - 2
ani",OTC,N02BE01,500 mg every 4-6 hours as needed,120-250 mg every 4-6 hours for children over 6 years,Fever.pain.inflammation
DULSIFEB 24 mg/ml,PARACETAMOLUM,SOL. ORALA,24 mg/ml,ACTAVIS GROUP PTC EHF. - ISLANDA,"Cutie cu 1 flac. din sticla cu capac prevazut cu sist. inchidere securizat pt. copii (PP/PEJD) + 1 seringa dozatoare cu piston din PEID si rezervor din PP x 120 ml sol. orala - 2
ani",OTC,N02BE01,500 mg every 4-6 hours as needed,120-250 mg every 4-6 hours for children over 6 years,Fever.pain.inflammation
DULSIFEB 24 mg/ml,PARACETAMOLUM,SOL. ORALA,24 mg/ml,ACTAVIS GROUP PTC EHF. - ISLANDA,"Cutie cu 1 flac. din sticla cu capac prevazut cu sist. inchidere securizat pt. copii (PP/PEJD) + 1 seringa dozatoare cu piston din PEID si rezervor din PP x 150 ml sol. orala - 2
ani",OTC,N02BE01,500 mg every 4-6 hours as needed,120-250 mg every 4-6 hours for children over 6 years,Fever.pain.inflammation
DULSIFEB 24 mg/ml,PARACETAMOLUM,SOL. ORALA,24 mg/ml,ACTAVIS GROUP PTC EHF. - ISLANDA,"Cutie cu 1 flac. din sticla cu capac prevazut cu sist. inchidere securizat pt. copii (PP/PEJD) + 1 seringa dozatoare cu piston din PEID si rezervor din PP x 200 ml sol. orala - 2
ani",OTC,N02BE01,500 mg every 4-6 hours as needed,120-250 mg every 4-6 hours for children over 6 years,Fever.pain.inflammation
DULSIFEB 24 mg/ml,PARACETAMOLUM,SOL. ORALA,24 mg/ml,ACTAVIS GROUP PTC EHF. - ISLANDA,"Cutie cu 1 flac. din sticla cu capac prevazut cu sist. inchidere securizat pt. copii (PP/PEJD) + 1 seringa dozatoare cu piston din PEID si rezervor din PP x 300 ml sol. orala - 2
ani",OTC,N02BE01,500 mg every 4-6 hours as needed,120-250 mg every 4-6 hours for children over 6 years,Fever.pain.inflammation
DULSIFEB 250 mg,PARACETAMOLUM,COMPR. ORODISPERSABI LE,250mg,ACTAVIS GROUP PTC EHF. - ISLANDA,Cutie cu blist. PVC/PVDC/Al-PE-hartie x 10 compr. orodispersabile - 3 ani,OTC,N02BE01,500 mg every 4-6 hours as needed,120-250 mg every 4-6 hours for children over 6 years,Fever.pain.inflammation
DULSIFEB 250 mg,PARACETAMOLUM,COMPR. ORODISPERSABI LE,250mg,ACTAVIS GROUP PTC EHF. - ISLANDA,"Cutie cu blist. PVC/PVDC/Al-PE-hartie
x 12 compr. orodispersabile - 3 ani",OTC,N02BE01,500 mg every 4-6 hours as needed,120-250 mg every 4-6 hours for children over 6 years,Fever.pain.inflammation
DULSIFEB 250 mg,PARACETAMOLUM,COMPR. ORODISPERSABI LE,250mg,ACTAVIS GROUP PTC EHF. - ISLANDA,"Cutie cu blist. PVC/PVDC/Al-PE-hartie
x 16 compr. orodispersabile - 3 ani",OTC,N02BE01,500 mg every 4-6 hours as needed,120-250 mg every 4-6 hours for children over 6 years,Fever.pain.inflammation
DULSIFEB 250 mg,PARACETAMOLUM,COMPR. ORODISPERSABI LE,250mg,ACTAVIS GROUP PTC EHF. - ISLANDA,"Cutie cu blist. PVC/PVDC/Al-PE-hartie
x 20 compr. orodispersabile - 3 ani",OTC,N02BE01,500 mg every 4-6 hours as needed,120-250 mg every 4-6 hours for children over 6 years,Fever.pain.inflammation
DULSIFEB 250 mg,PARACETAMOLUM,COMPR. ORODISPERSABI LE,250mg,ACTAVIS GROUP PTC EHF. - ISLANDA,"Cutie cu blist. PVC/PVDC/Al-PE-hartie
x 30 compr. orodispersabile - 3 ani",OTC,N02BE01,500 mg every 4-6 hours as needed,120-250 mg every 4-6 hours for children over 6 years,Fever.pain.inflammation
DULSIFEB 250 mg,PARACETAMOLUM,COMPR. ORODISPERSABI LE,250mg,ACTAVIS GROUP PTC EHF. - ISLANDA,"Cutie cu blist. PVC-Aclar/Al-PE-hartie
x 10 compr. orodispersabile - 3 ani",OTC,N02BE01,500 mg every 4-6 hours as needed,120-250 mg every 4-6 hours for children over 6 years,Fever.pain.inflammation
DULSIFEB 250 mg,PARACETAMOLUM,COMPR. ORODISPERSABI LE,250mg,ACTAVIS GROUP PTC EHF. - ISLANDA,"Cutie cu blist. PVC-Aclar/Al-PE-hartie
x 12 compr. orodispersabile - 3 ani",OTC,N02BE01,500 mg every 4-6 hours as needed,120-250 mg every 4-6 hours for children over 6 years,Fever.pain.inflammation
DULSIFEB 250 mg,PARACETAMOLUM,COMPR. ORODISPERSABI LE,250mg,ACTAVIS GROUP PTC EHF. - ISLANDA,"Cutie cu blist. PVC-Aclar/Al-PE-hartie
x 16 compr. orodispersabile - 3 ani",OTC,N02BE01,500 mg every 4-6 hours as needed,120-250 mg every 4-6 hours for children over 6 years,Fever.pain.inflammation
DULSIFEB 250 mg,PARACETAMOLUM,COMPR. ORODISPERSABI LE,250mg,ACTAVIS GROUP PTC EHF. - ISLANDA,"Cutie cu blist. PVC-Aclar/Al-PE-hartie
x 20 compr. orodispersabile - 3 ani",OTC,N02BE01,500 mg every 4-6 hours as needed,120-250 mg every 4-6 hours for children over 6 years,Fever.pain.inflammation
DULSIFEB 250 mg,PARACETAMOLUM,COMPR. ORODISPERSABI LE,250mg,ACTAVIS GROUP PTC EHF. - ISLANDA,"Cutie cu blist. PVC-Aclar/Al-PE-hartie
x 30 compr. orodispersabile - 3 ani",OTC,N02BE01,500 mg every 4-6 hours as needed,120-250 mg every 4-6 hours for children over 6 years,Fever.pain.inflammation
DUPHALAC FRUIT 667 mg/ml,LACTULOSUM,SOL. ORALA,667mg/ml,ABBOTT PRODUCTS  GMBH - GERMANIA,"Cutie cu 1 flac. PEID x 200 ml sol.
orala - 3 ani",OTC,A06AD11,15-30 ml daily,5-10 ml daily,Laxative.hepatic encephalopathy
DUPHALAC FRUIT 667 mg/ml,LACTULOSUM,SOL. ORALA,667mg/ml,ABBOTT PRODUCTS  GMBH - GERMANIA,"Cutie cu 1 flac. PEID x 300 ml sol.
orala - 3 ani",OTC,A06AD11,15-30 ml daily,5-10 ml daily,Laxative.hepatic encephalopathy
DUPHALAC FRUIT 667 mg/ml,LACTULOSUM,SOL. ORALA,667mg/ml,ABBOTT PRODUCTS  GMBH - GERMANIA,"Cutie cu 1 flac. PEID x 500 ml sol.
orala - 3 ani",OTC,A06AD11,15-30 ml daily,5-10 ml daily,Laxative.hepatic encephalopathy
DUPHALAC FRUIT 667 mg/ml,LACTULOSUM,SOL. ORALA,667mg/ml,ABBOTT PRODUCTS  GMBH - GERMANIA,"Cutie cu 1 flac. PEID x 800 ml sol.
orala - 3 ani",OTC,A06AD11,15-30 ml daily,5-10 ml daily,Laxative.hepatic encephalopathy
DUPHALAC FRUIT 667 mg/ml,LACTULOSUM,SOL. ORALA,667mg/ml,ABBOTT PRODUCTS  GMBH - GERMANIA,"Cutie cu 1 flac. PEID x 1000 ml sol.
orala - 3 ani",OTC,A06AD11,15-30 ml daily,5-10 ml daily,Laxative.hepatic encephalopathy
DUPHALAC FRUIT 667 mg/ml,LACTULOSUM,SOL. ORALA,667mg/ml,ABBOTT PRODUCTS  GMBH - GERMANIA,Cutie cu 20 plicuri din poliester/Al/PE,OTC,A06AD11,15-30 ml daily,5-10 ml daily,Laxative.hepatic encephalopathy
DUPHALAC FRUIT 667 mg/ml,LACTULOSUM,SOL. ORALA,667mg/ml,ABBOTT PRODUCTS  GMBH - GERMANIA,a cate 15 ml sol. orala - 3 ani,,,15-30 ml daily,5-10 ml daily,Laxative.hepatic encephalopathy
EFFERALGAN,PARACETAMOLUM,COMPR. EFF.,1000mg,"BRISTOL MYERS SQUIBB KFT -
UNGARIA",Cutie x 1 tub x 8 compr. eff. - 3 ani,OTC,N02BE01,500 mg every 4-6 hours as needed,120-250 mg every 4-6 hours for children over 6 years,Fever.pain.inflammation
EFFERALGAN 500 mg,PARACETAMOLUM,COMPR. EFF.,500mg,"BRISTOL-MYERS SQUIBB KFT -
UNGARIA","Cutie x 4 blist. PE/Al  x 4 compr. eff. -
3 ani",OTC,N02BE01,500 mg every 4-6 hours as needed,120-250 mg every 4-6 hours for children over 6 years,Fever.pain.inflammation
"EFFERALGAN PENTRU COPII 30
mg/ml",PARACETAMOLUM,SOL. ORALA,30 mg/ml,BRISTOL-MYERS SQUIBB KFT - UNGARIA,"Cutie x 1 flacon x 90 ml sol. orala + 1
lingurita dozatoare din polistiren. gradata - 3 ani",OTC,N02BE01,500 mg every 4-6 hours as needed,120-250 mg every 4-6 hours for children over 6 years,Fever.pain.inflammation
"EFFERALGAN PENTRU COPII 30
mg/ml",PARACETAMOLUM,SOL. ORALA,30 mg/ml,BRISTOL-MYERS SQUIBB KFT - UNGARIA,"Cutie x 1 flacon x 150 ml sol. orala + 1
lingurita dozatoare din polistiren. gradata - 3 ani",OTC,N02BE01,500 mg every 4-6 hours as needed,120-250 mg every 4-6 hours for children over 6 years,Fever.pain.inflammation
EFISEN M 200 mg,IBUPROFENUM,COMPR. FILM.,200mg,"SOLACIUM PHARMA S.R.L. -
ROMANIA","Cutie cu 2 blist. PVC/Al x 6 compr. - 2
ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
ENERION,SULBUTIAMINUM,DRAJ.,200mg,LES LABORATOIRES SERVIER - FRANTA,"Cutie x 2 blist. Al/PVC x 15 draj. - 3
ani",OTC,A11DA02,200-400 mg daily in divided doses,Consult a healthcare provider,Thiamine deficiency.boost energy
ENERION,SULBUTIAMINUM,DRAJ.,200mg,LES LABORATOIRES SERVIER - FRANTA,"Cutie x 4 blist. Al/PVC x 15 draj. - 3
ani",OTC,A11DA02,200-400 mg daily in divided doses,Consult a healthcare provider,Thiamine deficiency.boost energy
ENTERIUM 2 mg,LOPERAMIDUM,CAPS.,2 mg,SANIENCE S.R.L. - ROMANIA,"Cutie cu 1 blist. PVC/Al x 10 caps. - 2
ani",OTC,A07DA03,2-4 mg 1-2 times daily,Consult a healthcare provider,Diarrhea
ENTEROL® 250,SACCHAROMYCES BOULARDII,CAPS.,250mg,BIOCODEX - FRANTA,Cutie x 1 flac. x 10 caps. - 3 ani,OTC,A07FA02,250 mg once or twice daily,Consult a healthcare provider,Probiotic.gastrointestinal support
ENTEROL® 250,SACCHAROMYCES BOULARDII,"PULB. PT. SOL.
ORALA",250mg,BIOCODEX - FRANTA,Cutie x 10 plicuri pulb. orala - 3 ani,OTC,A07FA02,250 mg once or twice daily,Consult a healthcare provider,Probiotic.gastrointestinal support
ESCAPELLE 1.5 mg,LEVONORGESTRELUM,COMPR.,1.5mg,"GEDEON RICHTER PLC. -
UNGARIA","Cutie x 1 blist. Al/PVC x 1 compr. - 4
ani",OTC,G03AC03,1.5 mg as a single dose for emergency contraception,Same as adult; intended for post-pubertal adolescents,Emergency contraception
ESPUMISAN,SIMETHICONUM,CAPS. MOI,40mg,BERLIN-CHEMIE AG (MENARINI GROUP) - GERMANIA,"Cutie x 1 blist. Al/PVC x 25 caps. moi -
3 ani",OTC,A03AX13,40-80 mg up to four times daily,Consult a healthcare provider,Gas.bloating relief
ESPUMISAN,SIMETHICONUM,CAPS. MOI,40mg,BERLIN-CHEMIE AG (MENARINI GROUP) - GERMANIA,"Cutie x 2 blist. Al/PVC x 25 caps. moi -
3 ani",OTC,A03AX13,40-80 mg up to four times daily,Consult a healthcare provider,Gas.bloating relief
ESPUMISAN,SIMETHICONUM,CAPS. MOI,40mg,BERLIN-CHEMIE AG (MENARINI GROUP) - GERMANIA,"Cutie x 4 blist. Al/PVC x 25 caps. moi -
3 ani",OTC/S,A03AX13,40-80 mg up to four times daily,Consult a healthcare provider,Gas.bloating relief
ESPUMISAN  L 40mg/ml,SIMETHICONUM,PIC. ORALE. EMULSIE,40mg/ml,BERLIN-CHEMIE AG (MENARINI GROUP) - GERMANIA,"Cutie x 1 flacon x 30 ml pic. orale.
emulsie - 3 ani",OTC,A03AX13,40-80 mg up to four times daily,Consult a healthcare provider,Gas.bloating relief
ESPUMISAN  L 40mg/ml,SIMETHICONUM,PIC. ORALE. EMULSIE,40mg/ml,BERLIN-CHEMIE AG (MENARINI GROUP) - GERMANIA,"Cutie x 1 flacon x 250 ml  pic. orale.
emulsie - 3 ani",OTC,A03AX13,40-80 mg up to four times daily,Consult a healthcare provider,Gas.bloating relief
ESPUMISAN 100 mg/ml,SIMETHICONUM,PIC. ORALE. EMULSIE,100mg/ml,BERLIN-CHEMIE AG (MENARINI GROUP) - GERMANIA,"Cutie cu 1 flac. din sticla bruna x 30 ml pic. orale. emulsie cu aplicator de
picurare + 1 masura dozatoare - 3 ani",OTC,A03AX13,40-80 mg up to four times daily,Consult a healthcare provider,Gas.bloating relief
ESPUMISAN 100 mg/ml,SIMETHICONUM,PIC. ORALE. EMULSIE,100mg/ml,BERLIN-CHEMIE AG (MENARINI GROUP) - GERMANIA,"Cutie cu 1 flac. din sticla bruna x 50 ml pic. orale. emulsie cu aplicator de
picurare + 1 masura dozatoare - 3 ani",OTC,A03AX13,40-80 mg up to four times daily,Consult a healthcare provider,Gas.bloating relief
EXIGAN 210 mg,"EXTRACT USCAT DE
VALERIANA",COMPR.,210mg,"GEDEON RICHTER ROMANIA SA -
ROMANIA","Cutie cu 2 blist. PVC-PVDC/Al x 10
compr. - 3 ani",OTC,N05CM09,400-600 mg before bedtime,Consult a healthcare provider,Sleep aid.anxiety relief
EXODERIL 10 mg/g,NAFTIFINUM,CREMA,10mg/g,SANDOZ GMBH - AUSTRIA,"Cutie cu 1 tub din Al x 15 g crema - 5
ani",OTC,D01AE22,100 mg once daily,Consult a healthcare provider,Fungal infections of the skin
EXODERIL 10 mg/ml,NAFTIFINUM,SOL. CUT.,10mg/ml,SANDOZ GMBH - AUSTRIA,"Cutie cu 1 flac. din sticla bruna x 10 ml
sol. cutanata - 5 ani",OTC,D01AE22,100 mg once daily,Consult a healthcare provider,Fungal infections of the skin
FARINGOSEPT  LAMAIE 10 mg,AMBAZONUM,COMPR. DE SUPT,10mg,TERAPIA S.A. - ROMANIA,"Cutie cu un blister din
Al/PVC-PE-PVDC transparent. incolor x 10 compr. de supt - 2 ani",OTC,R02AA01,15 mg twice daily,Consult a healthcare provider,Treatment of protozoal infections
FARINGOSEPT  LAMAIE 10 mg,AMBAZONUM,COMPR. DE SUPT,10mg,TERAPIA S.A. - ROMANIA,"Cutie cu un blister din
Al/PVC-PE-PVDC transparent. maro x 10 compr. de supt - 2 ani",OTC,R02AA01,15 mg twice daily,Consult a healthcare provider,Treatment of protozoal infections
FARINGOSEPT 10 mg,AMBAZONUM,COMPR. DE SUPT,10mg,TERAPIA SA - ROMANIA,"Cutie cu un blister din
Al/PVC-PE-PVDC transparent. incolor x 10 compr. de supt - 2 ani",OTC,R02AA01,15 mg twice daily,Consult a healthcare provider,Treatment of protozoal infections
FARINGOSEPT 10 mg,AMBAZONUM,COMPR. DE SUPT,10mg,TERAPIA SA - ROMANIA,"Cutie cu un blister din
Al/PVC-PE-PVDC transparent. maro x 10 compr. de supt - 2 ani",OTC,R02AA01,15 mg twice daily,Consult a healthcare provider,Treatment of protozoal infections
FARINGOSEPT MENTA 10 mg,AMBAZONUM,"COMPR. DE
SUPT.",10mg,TERAPIA S.A. - ROMANIA,"Cutie cu 1 blist. PVC-PE-PVDC/Al x
10 compr. de supt - 2 ani",OTC,R02AA01,15 mg twice daily,Consult a healthcare provider,Treatment of protozoal infections
FARINGOSEPT ROM 10 mg,AMBAZONUM,"COMPR. DE
SUPT.",10mg,TERAPIA S.A. - ROMANIA,"Cutie cu 1 blist. PVC-PE-PVDC/Al x
10 compr. de supt - 2 ani",OTC,R02AA01,15 mg twice daily,Consult a healthcare provider,Treatment of protozoal infections
"FARINGOSEPT SCORTISOARA 10
mg",AMBAZONUM,"COMPR. DE
SUPT.",10mg,TERAPIA S.A. - ROMANIA,"Cutie cu 1 blist. PVC-PE-PVDC/Al x
10 compr. de supt - 2 ani",OTC,R02AA01,15 mg twice daily,Consult a healthcare provider,Treatment of protozoal infections
FASPIC 400 mg  granule pentru solutie orala,IBUPROFENUM,GRAN. PT. SOL. ORALA,400mg,ZAMBON S.P.A. - ITALIA,"Cutie x 6 plicuri unidoza x 3g gran. pt.
sol. orala - 3 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
FASPIC 400 mg  granule pentru solutie orala,IBUPROFENUM,GRAN. PT. SOL. ORALA,400mg,ZAMBON S.P.A. - ITALIA,"Cutie x 10 plicuri unidoza x 3g gran.
pt. sol. orala - 3 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
FASPIC 400 mg  granule pentru solutie orala,IBUPROFENUM,GRAN. PT. SOL. ORALA,400mg,ZAMBON S.P.A. - ITALIA,"Cutie x 12 plicuri unidoza x 3g gran.
pt. sol. orala - 3 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
FASPIC® 400 mg,IBUPROFENUM,COMPR. FILM.,400mg,ZAMBON S.P.A. - ITALIA,"Cutie x 1 blist. Al-PE/PE-Al-PA x 6
compr. film. - 2 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
FASPIC® 400 mg,IBUPROFENUM,COMPR. FILM.,400mg,ZAMBON S.P.A. - ITALIA,"Cutie x 2 blist. Al-PE/PE-Al-PA x 6
compr. film. - 2 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
FENILBUTAZONA,PHENYLBUTAZONUM,CREMA,4%,ANTIBIOTICE SA - ROMANIA,Cutie x 1 tub x 20 g - 3 ani,OTC,M02AA01,200-400 mg daily,Consult a healthcare provider,Anti-inflammatory.pain relief in arthritis
FENILBUTAZONA,PHENYLBUTAZONUM,CREMA,4%,ANTIBIOTICE SA - ROMANIA,Cutie x 1 tub x 40 g - 3 ani,OTC,M02AA01,200-400 mg daily,Consult a healthcare provider,Anti-inflammatory.pain relief in arthritis
"FENILBUTAZONA FITERMAN
40mg/g",PHENYLBUTAZONUM,CREMA,40mg/g,FITERMAN PHARMA S.R.L. - ROMANIA,Cutie cu 1 tub Al x 35 g crema - 3 ani,OTC,M02AA01,200-400 mg daily,Consult a healthcare provider,Anti-inflammatory.pain relief in arthritis
"FENILBUTAZONA FITERMAN
40mg/g",PHENYLBUTAZONUM,CREMA,40mg/g,FITERMAN PHARMA S.R.L. - ROMANIA,Cutie cu 1 tub Al x 50 g crema - 3 ani,OTC,M02AA01,200-400 mg daily,Consult a healthcare provider,Anti-inflammatory.pain relief in arthritis
"FENILBUTAZONA HYPERION 40
mg/g",PHENYLBUTAZONUM,CREMA,40mg/g,HYPERION SA - ROMANIA,Cutie x 1 tub Al x 40g crema - 3 ani,OTC,M02AA01,200-400 mg daily,Consult a healthcare provider,Anti-inflammatory.pain relief in arthritis
FENISTIL GEL 1mg/g,DIMETINDENUM,GEL,1mg/g,"NOVARTIS CONSUMER HEALTH
GMBH - GERMANIA",Cutie cu 1 tub din Al x 30 g gel - 3 ani,OTC,D04AA13,40 mg up to three times daily,Consult a healthcare provider,Antiemetic.treatment of vertigo
FIOBILIN 250 mg,ACIDUM DEHYDROCHOLICUM,COMPR.,250mg,TERAPIA SA - ROMANIA,"Cutie x 1 blist. Al/PVC x 10 compr. - 4
ani",OTC,A05AAN1,250-750 mg daily,Consult a healthcare provider,Treatment of biliary and hepatic disorders
FIOBILIN 250 mg,ACIDUM DEHYDROCHOLICUM,COMPR.,250mg,TERAPIA SA - ROMANIA,"Cutie x 2 blist. Al/PVC x 10 compr. - 4
ani",OTC,A05AAN1,250-750 mg daily,Consult a healthcare provider,Treatment of biliary and hepatic disorders
FIOBILIN 250 mg,ACIDUM DEHYDROCHOLICUM,COMPR.,250mg,TERAPIA SA - ROMANIA,"Cutie x 5 blist. Al/PVC x 10 compr. - 4
ani",OTC,A05AAN1,250-750 mg daily,Consult a healthcare provider,Treatment of biliary and hepatic disorders
FLAVAMED  15mg/5ml SIROP,AMBROXOLUM,SIROP,15mg/5ml,BERLIN CHEMIE AG MENARINI GROUP - GERMANIA,"Cutie x 1 flacon din sticla bruna x 60
ml sirop + lingurita dozatoare - 3 ani",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
FLAVAMED  15mg/5ml SIROP,AMBROXOLUM,SIROP,15mg/5ml,BERLIN CHEMIE AG MENARINI GROUP - GERMANIA,"Cutie x 1 flacon din sticla bruna x 100
ml sirop + lingurita dozatoare - 3 ani",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
FLAVAMED  15mg/5ml SIROP,AMBROXOLUM,SIROP,15mg/5ml,BERLIN CHEMIE AG MENARINI GROUP - GERMANIA,"Cutie x 1 flacon din sticla bruna x 200
ml sirop + lingurita dozatoare - 3 ani",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
FLAVAMED 15 mg/5 ml,AMBROXOLUM,SOL. ORALA,15mg/ml,BERLIN-CHEMIE AG - GERMANIA,"Cutie cu 1 flacon din sticla bruna  x 100 ml sol. orala +1 lingurita dozatoare din PP de 5 ml - 3 ani-dupa ambalarea pt. comercializare; dupa
prima deschidere-6 luni",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
FLAVAMED 30 mg/5 ml,AMBROXOLUM,SOL. ORALA,30mg/5ml,BERLIN-CHEMIE AG - GERMANIA,"Cutie cu 1 flac. din sticla bruna+lingurita dozatoare gradata la 1.25 ml. 2.5 ml si 5 ml care contine 100 ml sol. orala - 3 ani-dupa ambalarea pt. comercializare; dupa
prima deschidere-6 luni",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
